name,url,test_type,description,duration,adaptive_support,remote_support
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"B,P","Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",Approximate Completion Time in minutes = 30,No,Yes
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"B,P","Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",Approximate Completion Time in minutes = 20,No,Yes
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"A,E,B,C,D,P"," Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",,No,Yes
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,K,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",Approximate Completion Time in minutes = 30,No,Yes
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,K,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",Approximate Completion Time in minutes = 17,No,Yes
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,K,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",Approximate Completion Time in minutes = 5,No,Yes
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,K,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Approximate Completion Time in minutes = 11,No,Yes
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,K,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",Approximate Completion Time in minutes = 9,No,Yes
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,K,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",Approximate Completion Time in minutes = 5,No,Yes
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,K,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",Approximate Completion Time in minutes = 9,No,Yes
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,S,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,Approximate Completion Time in minutes = 8,No,Yes
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,K,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,Approximate Completion Time in minutes = 13,No,Yes
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,S,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,Approximate Completion Time in minutes = 8,No,Yes
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,K,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",Approximate Completion Time in minutes = 10,No,Yes
Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/,"A,B,C,P,S","Contact Center Customer Service + 8.0: The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…",Approximate Completion Time in minutes = 41,No,Yes
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,"S,B,C,P",Contact Center Customer Service 8.0  : The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,Approximate Completion Time in minutes = 31,No,Yes
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,"P,B,C,A,S","Contact Center Sales & Service + 8.0 : The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…",Approximate Completion Time in minutes = 41,No,Yes
Contact Center Sales & Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,"S,B,C,P",Contact Center Sales & Service 8.0 : The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and…,Approximate Completion Time in minutes = 31,No,Yes
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,K,"Adobe Experience Manager (New): Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",Approximate Completion Time in minutes = 17,No,Yes
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,K,"Adobe Photoshop CC: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File…",Approximate Completion Time in minutes = 20,No,Yes
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,K,"Aeronautical Engineering (New): Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",Approximate Completion Time in minutes = 10,No,Yes
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,K,"Aerospace Engineering (New): Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",Approximate Completion Time in minutes = 10,No,Yes
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,K,"Agile Software Development: Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and…",Approximate Completion Time in minutes = 7 minutes,No,Yes
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,K,"Agile Testing (New): Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",Approximate Completion Time in minutes = 13,No,Yes
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,P,AI Skills : The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,Approximate Completion Time in minutes = 16,No,Yes
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,K,"Amazon Web Services (AWS) Development (New): Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",Approximate Completion Time in minutes = 6,No,Yes
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,K,"Android Development (New): Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components…",Approximate Completion Time in minutes = 7,No,Yes
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,K,"Angular 6 (New): Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with…",Approximate Completion Time in minutes = 11,No,Yes
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,K,"AngularJS (New): Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",Approximate Completion Time in minutes = 9,No,Yes
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,K,"Apache Hadoop (New): Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",Approximate Completion Time in minutes = 7,No,Yes
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,"B,P,A","Entry Level Cashier 7.1 (Americas): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…",Approximate Completion Time in minutes = 18,No,Yes
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,"A,B,P","Entry Level Cashier 7.1 (International): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…",Approximate Completion Time in minutes = 18,No,Yes
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,"C,P",Entry Level Customer Service 7.1 (Americas): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,Approximate Completion Time in minutes = 19,No,Yes
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,"C,P",Entry Level Customer Service 7.1 (International): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,Approximate Completion Time in minutes = 19,No,Yes
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,"C,P",Entry Level Customer Service 7.1 (South Africa): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,Approximate Completion Time in minutes = 19,No,Yes
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,"B,C,P",Entry level Sales 7.1 (Americas): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,Approximate Completion Time in minutes = 20,No,Yes
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,"P,B,C",Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,Approximate Completion Time in minutes = 20,No,Yes
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,"C,P,B",Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,Approximate Completion Time in minutes = 20,No,Yes
